schoolid,schoolname,CalendarYear,NumApps,NumFTApps,NumPTApps,NumOffers,NumFTOffers,NumPTOffers,NumMatriculants,NumFTMatriculants,NumPTMatriculants,OtherFirstYear,TotalFirstYear,FTFirstYear,PTFirstYear,UGGPA75,FTUGGPA75,PTUGGPA75,UGGPA50,FTUGGPA50,PTUGGPA50,UGGPA25,FTUGGPA25,PTUGGPA25,UGGPAExcl,FTUGGPAExcl,PTUGGPAExcl,LSAT75,FTLSAT75,PTLSAT75,LSAT50,FTLSAT50,PTLSAT50,LSAT25,FTLSAT25,PTLSAT25,LSATExcl,FTLSATExcl,PTLSATExcl,GMATEnrolled,ACTEnrolled,GREEnrolled,SATEnrolled,GMAT75,GMAT50,GMAT25,ACT75,ACT50,ACT25,GREVerbal75,GREVerbal50,GREVerbal25,GREQuant75,GREQuant50,GREQuant25,GREAnalytical75,GREAnalytical50,GREAnalytical25,SAT75,SAT50,SAT25,FTGREAnalytical25,FTGREAnalytical50,FTGREAnalytical75,FTGREQuant25,FTGREQuant50,FTGREQuant75,FTGREVerbal25,FTGREVerbal50,FTGREVerbal75,PTGREAnalytical25,PTGREAnalytical50,PTGREAnalytical75,PTGREQuant25,PTGREQuant50,PTGREQuant75,PTGREVerbal25,PTGREVerbal50,PTGREVerbal75
353500,Vanderbilt University,2019,5294,,,1160,,,168,,,6,174,174,0,3.87,3.87,,3.8,3.8,,3.56,3.56,,1,1,,168,168,,167,167,,162,162,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354500,Baylor University,2019,2705,,,959,,,169,,,0,169,169,0,3.72,3.72,,3.6,3.6,,3.38,3.38,,2,2,,161,161,,160,160,,157,157,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361300,Southern Methodist University,2019,1757,,,833,,,269,,,4,273,273,0,3.83,3.83,,3.7,3.7,,3.33,3.33,,1,1,,163,163,,161,161,,155,155,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362300,St. Mary's University,2019,1372,,,741,,,249,,,8,257,233,24,3.5,3.5,3.26,3.24,3.26,3.04,2.87,2.88,2.77,1,1,0,154,154,152,151,152,149,149,150,148,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364200,Texas Southern University,2019,1441,,,406,,,175,,,5,180,180,0,3.33,3.33,,3.07,3.07,,2.78,2.78,,1,1,,147,147,,145,145,,143,143,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364400,Texas Tech University,2019,1142,,,505,,,142,,,5,147,147,0,3.6,3.6,,3.42,3.42,,3.2,3.2,,0,0,,157,157,,155,155,,153,153,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364500,Texas A&M University,2019,2280,,,655,,,170,,,3,173,171,2,3.8,3.8,0,3.62,3.62,0,3.34,3.34,0,1,1,0,160,160,0,159,159,0,154,154,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365200,University of Houston,2019,2628,,,921,,,207,,,2,209,175,34,3.75,3.76,3.73,3.61,3.61,3.58,3.33,3.32,3.39,4,4,0,161,162,160,160,160,158,156,157,153,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365800,University of Texas at Austin,2019,5803,,,1017,,,280,,,8,288,288,0,3.89,3.89,,3.72,3.72,,3.48,3.48,,6,6,,169,169,,168,168,,165,165,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367000,Brigham Young University,2019,456,,,187,,,119,,,4,123,123,0,3.92,3.92,,3.82,3.82,,3.6,3.6,,1,1,,167,167,,164,164,,160,160,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367500,University of Utah,2019,761,,,311,,,102,,,2,104,104,0,3.8,3.8,,3.6,3.6,,3.43,3.43,,0,0,,162,162,,160,160,,157,157,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370500,William and Mary Law School,2019,3291,,,1001,,,240,,,0,240,240,0,3.89,3.89,,3.76,3.76,,3.46,3.46,,5,5,,164,164,,163,163,,159,159,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374400,University of Richmond,2019,1424,,,600,,,134,,,1,135,135,0,3.7,3.7,,3.6,3.6,,3.27,3.27,,0,0,,162,162,,161,161,,155,155,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374500,University of Virginia,2019,5645,,,829,,,303,,,32,335,335,0,3.96,3.96,,3.9,3.9,,3.47,3.47,,1,1,,172,172,,170,170,,164,164,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374900,George Mason University,2019,2964,,,618,,,139,,,0,139,123,16,3.86,3.88,3.79,3.75,3.78,3.7,3.39,3.37,3.55,1,0,1,165,165,166,164,164,163,158,158,154,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376800,Washington and Lee University,2019,2531,,,848,,,120,,,4,124,124,0,3.73,3.73,,3.64,3.64,,3.43,3.43,,3,3,,164,164,,163,163,,157,157,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377800,Gonzaga University,2019,883,,,517,,,137,,,2,139,139,0,3.63,3.63,,3.41,3.41,,3.16,3.16,,0,0,,156,156,,154,154,,152,152,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379001,Seattle University,2019,1381,,,852,,,226,,,0,226,193,33,3.57,3.6,3.51,3.37,3.39,3.19,3.08,3.12,2.97,5,3,2,157,158,155,155,155,152,151,151,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379800,University of Washington,2019,2555,,,711,,,158,,,6,164,164,0,3.79,3.79,,3.68,3.68,,3.5,3.5,,6,6,,164,164,,162,162,,158,158,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382700,West Virginia University,2019,496,,,292,,,113,,,2,115,115,0,3.7,3.7,,3.45,3.45,,3.15,3.15,,0,0,,157,157,,154,154,,152,152,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386300,Marquette University,2019,1201,,,567,,,197,,,0,197,191,6,3.63,3.63,0,3.44,3.44,0,3.25,3.25,0,4,3,1,156,156,0,154,154,0,150,150,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389500,University of Wisconsin,2019,1704,,,750,,,218,,,5,223,223,0,3.79,3.79,,3.65,3.65,,3.42,3.42,,6,6,,164,164,,162,162,,156,156,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393200,University of Wyoming,2019,390,,,212,,,73,,,0,73,73,0,3.55,3.55,,3.32,3.32,,3.11,3.11,,0,0,,154,154,,152,152,,150,150,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393600,Pontifical Catholic University of P.R.,2019,174,,,113,,,91,,,0,91,59,32,3.72,3.65,3.76,3.37,3.35,3.4,3.15,3.2,3.07,0,0,0,137,138,135,135,135,135,132,129,133,39,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393801,Inter American University of Puerto Rico,2019,404,,,264,,,184,,,0,184,132,52,3.55,3.55,3.61,3.35,3.35,3.34,3.06,3.04,3.07,2,1,1,142,143,142,140,140,138,136,136,135,30,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394200,University of Puerto Rico,2019,301,,,152,,,137,,,1,138,103,35,3.84,3.87,3.78,3.63,3.66,3.49,3.31,3.4,3.24,2,1,1,149,149,146,145,145,143,142,143,142,25,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394700,University of California-Hastings,2019,3271,,,1392,,,340,,,6,346,346,0,3.62,3.62,,3.45,3.45,,3.2,3.2,,4,4,,160,160,,158,158,,154,154,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396900,University of Minnesota,2019,2129,,,833,,,236,,,4,240,240,0,3.87,3.87,,3.75,3.75,,3.48,3.48,,17,17,,166,166,,165,165,,161,161,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497700,South Texas College of Law,2019,1574,,,811,,,350,,,6,356,308,48,3.38,3.39,3.34,3.15,3.15,3.08,2.85,2.9,2.6,4,2,2,155,155,155,152,152,152,150,150,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891600,New England Law | Boston,2019,2247,,,1643,,,350,,,1,351,274,77,3.58,3.59,3.57,3.25,3.26,3.17,2.9,2.95,2.72,10,5,5,155,155,153,152,153,149,148,149,145,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927500,Northern Kentucky University,2019,485,,,333,,,126,,,3,129,98,31,3.53,3.57,3.48,3.28,3.24,3.34,3,3.02,2.92,1,0,1,154,154,156,151,151,154,148,148,148,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963500,Florida International University,2019,1665,,,476,,,152,,,0,152,135,17,3.77,3.77,3.66,3.61,3.61,3.6,3.23,3.25,3.21,0,0,0,158,158,160,157,157,157,155,155,150,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014205,Touro College,2019,1229,,,676,,,196,,,1,197,145,52,3.39,3.41,3.25,3.1,3.15,3.04,2.75,2.78,2.68,1,1,0,151,151,150,149,149,148,147,147,147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014913,Pepperdine University,2019,3006,,,896,,,187,,,4,191,191,0,3.79,3.79,,3.66,3.66,,3.29,3.29,,3,3,,163,163,,161,161,,157,157,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039501,University of San Diego,2019,2875,,,1167,,,248,,,0,248,234,14,3.68,3.69,3.59,3.57,3.59,3.25,3.29,3.3,3.12,2,2,0,161,161,159,159,159,157,155,155,153,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085400,Thomas Jefferson School of Law,2019,903,,,422,,,48,,,1,49,48,1,3.12,3.12,0,2.87,2.87,0,2.52,2.52,0,0,0,0,150,150,0,149,149,0,147,147,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164901,Loyola Marymount University-Los Angeles,2019,3802,,,1254,,,324,,,3,327,281,46,3.73,3.76,3.59,3.57,3.58,3.44,3.3,3.35,3,1,1,0,162,162,161,160,160,158,157,158,155,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193400,Vermont Law School,2019,786,,,571,,,150,,,1,151,151,0,3.51,3.51,,3.24,3.24,,2.88,2.88,,3,3,,154,154,,150,150,,145,145,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262700,Western Michigan University,2019,1398,,,768,,,291,,,1,292,26,266,3.32,3.42,3.31,2.95,3.11,2.93,2.62,2.91,2.62,5,1,4,150,152,149,145,148,144,141,145,141,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310300,California Western School of Law,2019,1614,,,866,,,259,,,16,275,242,33,3.44,3.48,3.26,3.26,3.3,3.06,2.99,3.03,2.85,4,4,0,153,153,154,151,151,152,149,149,149,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053000,Liberty University,2019,347,,,190,,,81,,,3,84,84,0,3.76,3.76,,3.37,3.37,,3.02,3.02,,0,0,,154,154,,152,152,,149,149,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179937,Western State College of Law,2019,66,,,27,,,22,,,1,23,17,6,3.4,3.4,0,3.17,3.17,0,2.68,2.68,0,0,0,0,152,152,0,148,148,0,147,147,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091300,Regent University,2019,427,,,268,,,102,,,5,107,105,2,3.69,3.69,0,3.45,3.45,0,3.12,3.12,0,0,0,0,157,157,0,155,155,0,150,150,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3173300,Atlanta's John Marshall Law School,2019,764,,,281,,,69,,,1,70,51,19,3.48,3.45,3.57,3.13,3.09,3.23,2.65,2.65,2.66,1,1,0,152,152,153,150,150,150,147,147,147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191300,City University of New York,2019,1649,,,622,,,211,,,10,221,149,72,3.63,3.66,3.56,3.36,3.38,3.29,3.11,3.15,3,11,5,6,158,160,156,154,154,152,151,152,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374300,Florida Coastal School of Law,2019,993,,,501,,,86,,,1,87,87,0,3.36,3.36,,2.94,2.94,,2.66,2.66,,0,0,,151,151,,147,147,,146,146,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3559300,Appalachian School of Law,2019,445,,,252,,,55,,,6,61,61,0,3.4,3.4,,3.13,3.13,,2.64,2.64,,1,1,,149,149,,145,145,,143,143,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3691400,Ave Maria School of Law,2019,602,,,327,,,107,,,2,109,109,0,3.5,3.5,,3.21,3.21,,2.87,2.87,,4,4,,152,152,,148,148,,146,146,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096300,Charleston School of Law,2019,1355,,,792,,,215,,,4,219,219,0,3.39,3.39,,3.12,3.12,,2.75,2.75,,1,1,,151,151,,148,148,,146,146,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4242101,UNT Dallas College Of Law,2019,839,,,324,,,131,,,1,132,87,45,3.45,3.48,3.43,3.19,3.24,3.03,2.78,2.78,2.72,1,1,0,153,153,153,151,150,151,148,148,149,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
